tweet_id,meaning,communicated_message,inaccurate_or_misleadning,criticism_politicians,criticism_pharmaceutical_companies,criticism_public_health_officials,criticism_anti-vaxxers,criticism_vaccine_mandates,criticism_vaccine_safety,criticism_conservative_media,criticism_mainstream_media,criticism_public_health_policy,criticism_democrats_or_liberals,criticism_government,criticism_vaccine_effectiveness,criticism_other,support_science,support_choice_freedom,support_natural_health,support_vaccines,support_small_business,support_alternative_remedies,support_relaxed_approach,support_more_information,support_public_health_interventions,support_global_response,support_religious_beliefs,support_other
1466072498462732293,The tweet exaggerates the possibility that Republicans could reverse vaccine mandates and advocates for the reversal of vaccine mandates. ,Anti-vaccine,1,1,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,
1463909247826239494,"The tweet is linking to a video claiming that people, specifically aboriginal people, are being pinned down and vaccinated against their will in Australia by the military. Trying to create alarm about vaccine mandates. ",Anti-vaccine,1,0,0,0,0,1,0,0,0,0,0,0,0,"Military, Government",0,1,0,0,0,0,1,0,0,0,0,
1457401803016921089,"The tweet is promoting the fact that anti-vaxxers will get sick from not getting vaccinated. The tweet is in support of this, and specifies that there will be more vaccines for the thinking population.",Pro-vaccine,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,1,0,0,Reason
1459021730446458881,The tweet is linking to a inaccurate study that claims vaccinated people are 27 times more likely to get COVID and have a higher chance of complications and claims that those with natural immunity have a stronger defense.,Anti-vaccine,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,Not getting vaccinated
1484145644939972616,"The tweet is replying to a tweet of a study about Sweet Syndrome, a vaccine complication. The tweet is implying that vaccine injury is common and many vaccinated people regret getting the vaccine. ",Anti-vaccine,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,
1470825600986189824,"The tweet is highlighting the importance of a London, England protest against COVID restrictions and vaccine mandates. It is calling out the press for misrepresenting the population of people as anti-vaccine. It tries to clarify the difference between 'anti-vax' and 'anti-mandate' and anti kids getting the vaccine, pointing to potential harm against children if they were to be vaccinated. ",Anti-vaccine,1,0,0,0,0,1,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,
1463052982820356096,"This tweeter seems to criticize conservative media by saying that their tweet is not a conspiracy. The tweet shares an article from The Guardian, highlighting that almost all of the COVID-19 patients  currently in the ICU are unvaccinated.",Pro-vaccine,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,
1484294276636975107,"This tweet is saying that governments and big pharma are working together and that by creating vaccine mandates they are both benefitting, which is not true.",Anti-vaccine,1,0,1,0,0,1,0,0,0,0,0,1,0,Totalitarianism,0,1,0,0,0,0,0,0,0,0,0,
1439782470224842753,"This tweet is replying to Chris Rock's tweet urging people to get vaccinated. The tweeter seems to be calling out some kind of stereotype or generalization that all anti-vax individuals are republican. The tweeter is wondering why Chris Rock would feel the need to encourage his Twitter followers to get vaccinated if all his fans are liberals, which feels untrue, and only republicans are anti-vax which they seem to be saying sarcastically but is also untrue. ",Anti-vaccine,1,0,0,0,0,0,0,0,0,0,1,0,0,"Chris Rock, Stereotypes against republicans",0,0,0,0,0,0,0,0,0,0,0,
1450461625937448964,"The tweeter is asking for a Congressional investigation into all of the, 'bad actors', which seems to be referring to politicians, responsible for politicizing the pandemic. The tweeter wants these politicians who discredited the CDC, spread disinformation and went against mask mandates to be held accountable for their part in COVID deaths in America. ",Pro-vaccine,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Accountability
1470425364694458371,"The tweeter is saying that because all children have access to the vaccine they shouldn't have to wear masks in schools, particularly cafeterias. They are urging their Twitter followers to contact the board of health to make sure this happens. ",Pro-vaccine,0,0,0,0,0,0,0,0,0,0,0,1,0,Mask mandates,0,0,0,0,0,0,1,0,0,0,0,
1453112821609373704,"This tweeter is expressing their anger towards republican politicians and conservative media, as well as himself for not being able to convince his wife to get vaccinated. The tweeter urges the following of public health guidelines such as getting vaccinated, wearing a mask, washing hands, and staying home. ",Pro-vaccine,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,
1458314673313366020,"This tweet is difficult to decipher but the tweeter seems to be saying the vaccines are ""emergency use"" and therefore insinuating they were authorized without proper testing which is inaccurate. ",Anti-vaccine,1,0,0,1,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,
1451293791734820866,"This tweet is responding to a TMZ tweet saying that  Chis Brown referred to Kyrie Irving as a hero for not getting vaccinated. The tweeter is calling out Chris Brown's hypocrisy and pointing to rumours that Chris Brown had previously done crack, unconfirmed, saying how illogical it is for Brown to be okay with crack but not okay with the vaccine. ",Pro-vaccine,1,0,0,0,1,0,0,0,0,0,0,0,0,Chris Brown,0,0,0,1,0,0,0,0,0,0,0,
1475416334825508864,"The tweeter is replying to a post showing statistics from South Australia on COVID-19 hospitalizations and deaths. The tweet says that this data is inaccurate, as most cases are double vaccinated, and one person who died from COVID-19 was double vaccinated. The tweeter is saying that unvaccinated people should therefore not feel nervous about getting COVID-19.",Anti-vaccine,1,0,0,0,0,1,0,0,0,1,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,
1449355262666498059,"The tweet suggests that vaccines are ineffective, as the ICU capacity in Larimer County, Colorado is at 100%, and 75% of the population in that county are vaccinated. The tweeter suggests that since most of the population is vaccinated, and COVID-19 hospitalizations are still quite high, vaccines do not work.",Anti-vaccine,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,Inefficacy of vaccines
1445474737275097090,"This tweet is in response to a thread, where the tweeter is arguing with people who are opposed to vaccine mandates, and skeptical of vaccines themselves, and public health policy. The tweeter replies that the vaccine is important to improve the economy and people's way of life, and supports public health officials pushing the vaccine.",Pro-vaccine,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,1,0,0,
1463361066415575045,The tweet is criticizing a linked article that says the Kansas Governor will sign a bill that will allow businesses to have broad vaccine exemptions for workers.,Pro-vaccine,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,
1474946944887934977,"The tweeter explains that she has been careful during the pandemic, by wearing a mask, getting triple vaccinated and isolating when needed. She indicated that she did take some risks, by sometimes eating indoors. She is glad that she got the vaccine, as she contracted COVID-19, and being triple vaccinated lessened her symptoms.",Pro-vaccine,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,
1443467508757917697,The tweet is asking that anti-vaxx people stop speaking on behalf of vaccinated people and allow vaccinated people to speak for themselves. ,Pro-vaccine,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,
1446373762618830849,The tweet is from a public health official is sharing a resource on how to decipher misinformation about COVID-19 and vaccines.,Pro-vaccine,0,0,0,0,1,0,0,0,0,0,0,0,0,misinformation,1,0,0,1,0,0,0,0,0,0,0,Fact-checking
1475305522194747394,"The tweet is criticizing the limited availability of monoclonal antibodies, as an alternative to vaccines, due to the actions of Biden and Fauci. At the same time, he is criticizing the abundance of vaccines. The tweeter has leukaemia and COVID-19, and is hoping to receive monoclonal antibodies as treatment. ",Anti-vaccine,0,1,0,1,0,0,0,0,0,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,
1452461752545910794,"The tweeter is saying that even after getting all three of his vaccines Colin Powell still died of COVID implying that either the vaccines are ineffective, unnecessary, not enough, or a combination of factors. ",Anti-vaccine,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
